track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,genre
2Wzl4bZLjqFUOeZaGrTaVJ,YUNGBLUD,Drippy Drippy,parents,0,172026,True,0.594,0.833,9,-4.311,0,0.0507,0.00967,0.0,0.3,0.599,82.04,4,rock,Rock
1UEj7RpdqH02grDvdxTKLP,All Time Low,Alternative Christmas 2022,"Merry Christmas, Kiss My Ass",0,199253,False,0.574,0.966,4,-3.034,1,0.0685,0.0141,0.0,0.43,0.788,128.034,4,rock,Rock
3SCYKwSFwlSe5xEvVlcP1W,George Strait,Country Christmas Greatest Hits,Jingle Bell Rock,1,132493,False,0.775,0.562,4,-6.041,0,0.0299,0.468,0.0,0.174,0.77,121.034,4,rock,Rock
1NhPKVLsHhFUHIOZ32QnS2,OneRepublic,Waking Up,Secrets,76,224693,False,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,4,rock,Rock
1ihSSnA4d0dcxQouy7gtNJ,Juanes,Retro Baladas,Es Por Ti,0,251120,False,0.694,0.761,4,-6.066,1,0.0263,0.176,3.63e-05,0.123,0.866,129.953,4,rock,Rock
333WK4wUSAfawJhirnJFAG,Rod Stewart;Michael Bublé,Holidays Are Coming,Winter Wonderland,0,143226,False,0.684,0.491,0,-7.655,1,0.0361,0.71,0.0,0.144,0.4,117.916,4,rock,Rock
4dWWUYR9l8xKi9CqXCG8ke,Rod Stewart,Feeling Good - Adult Pop Favorites,If I Had You,1,258293,False,0.579,0.635,10,-7.385,1,0.0393,0.302,1.25e-06,0.15,0.612,139.456,4,rock,Rock
57bgtoPSgt236HzfBOd8kj,AC/DC,The Razors Edge,Thunderstruck,84,292880,False,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,rock,Rock
7oAf0lBjipjSfyay9M8wQ6,Lenny Kravitz,90's Music Grandi Successi,I Belong To You,1,257066,False,0.691,0.686,7,-7.465,0,0.0493,0.000647,0.00456,0.106,0.666,87.312,4,rock,Rock
5HNau9WX6OmX2PcBn3n24r,Red Hot Chili Peppers,20's Rock,Black Summer,0,232412,False,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,4,rock,Rock
2GJ1xx5ZoeIJYbQKLSpoZ3,Skillet,Victorious,Finish Line,64,206060,False,0.53,0.803,5,-5.031,0,0.0386,0.0545,0.0,0.316,0.565,80.992,4,alt-rock,Rock
1MmzIqMP1y5AGIX20RZxDc,Fuel,Halloween Metal Nights,Won't Back Down,0,201426,False,0.465,0.883,8,-4.794,1,0.0504,0.000101,0.425,0.638,0.133,95.04,4,alt-rock,Rock
1rBivSsnwBbuC1UH9w9eCV,Enjambre,Daltónico,Ciencia De La Lluvia,47,232757,False,0.465,0.952,2,-3.312,1,0.0624,0.0455,1.82e-05,0.0804,0.502,159.054,4,alt-rock,Rock
5d9RSSwDvlTyuwfmeafUah,Phil Wickham,Living Hope,Living Hope,55,327000,False,0.292,0.535,3,-6.892,1,0.0393,0.0355,0.0,0.0977,0.316,143.949,4,alt-rock,Rock
0IK8y0vAO0sM630HsxwLht,Bohnes,Middle Finger - Single,Middle Finger,67,229986,True,0.685,0.656,1,-6.013,0,0.0383,0.437,0.0,0.347,0.392,128.003,4,alt-rock,Rock
44agmNQypTCFKc2dpVonDy,Los Estramboticos,!!Puro Macanazo!!,El Recuento de los Daños,47,271733,False,0.824,0.696,7,-6.716,1,0.0774,0.188,0.0,0.112,0.818,135.044,4,alt-rock,Rock
5izpR8PlJCjgJexf7JkMa9,Kari Jobe,Sad Covers 2022,In The Name Of Love - Recorded At Spotify Studios NYC,2,205738,False,0.675,0.375,6,-8.985,1,0.0452,0.542,2.5e-06,0.0951,0.187,134.023,4,alt-rock,Rock
0nkzd3yNniB767zSDDdLZ3,Skillet,Awake,Awake and Alive,69,209493,False,0.434,0.939,4,-2.983,0,0.0593,0.0425,0.0,0.491,0.569,159.932,4,alt-rock,Rock
5YTUCHSwfwJ4oHFDjFgpEe,Bea Miller,Arcane League of Legends (Soundtrack from the Animated Series),Playground (from the series Arcane League of Legends),64,230525,False,0.514,0.704,8,-6.859,1,0.0298,0.0107,7.15e-05,0.13,0.361,157.4,4,alt-rock,Rock
1955ZZJe1TzmSR0TomnNjI,Megadeth,Halloween Spooky Party 2022,Symphony Of Destruction,0,246733,False,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,alt-rock,Rock
2grJEu2P4KD1YDq2ZaaLoL,GUFI,Historias De La Calle,Punk Superstars,38,187742,False,0.508,0.956,4,-6.303,1,0.0587,0.000782,1.97e-05,0.0991,0.783,167.044,4,punk-rock,Rock
0SjveEILP1oTznahQcOJj5,Die Toten Hosen,Die Toten Hosen Live: Der Krach der Republik,"Heute hier, morgen dort - Live",36,154412,False,0.229,0.98,6,-3.307,1,0.071,0.00118,5.06e-06,0.511,0.327,121.778,4,punk-rock,Rock
5oayPLOM38NrQr8FzKa3os,The Offspring,Alt Throwback,Pretty Fly (For A White Guy),36,188480,False,0.723,0.902,11,-3.699,0,0.0937,0.0984,1.46e-06,0.0476,0.963,143.375,4,punk-rock,Rock
1uT2b9tByCtdjL4PN3xbRs,Black Rebel Motorcycle Club,Beat the Devil's Tattoo (Deluxe Version),Beat the Devil's Tattoo,55,226760,False,0.517,0.909,4,-2.815,1,0.0378,0.451,0.0135,0.0923,0.683,96.528,4,punk-rock,Rock
4Pz6d9chtIKUQ628KWDZpR,Charly García,Parte De La Religion,Adela en el Carrousell,40,315560,False,0.637,0.601,7,-9.175,0,0.0267,0.378,0.000121,0.416,0.631,97.693,4,punk-rock,Rock
4Haz8DCrtorRcaHKR1R8yo,Say Ocean,Mejores Tiempos,Amnesia,37,241270,False,0.558,0.923,1,-2.624,1,0.0972,0.00035,0.0,0.0916,0.52,98.152,4,punk-rock,Rock
4TmmjNjDVhTZ3pkanD3y7W,Autoramas,Nada Pode Parar os Autoramas,Você Sabe,38,145893,False,0.313,0.953,11,-2.951,0,0.215,1.62e-05,8.44e-06,0.191,0.813,156.419,4,punk-rock,Rock
66jQuzmutqVNb7OUsXTdn9,Allison,Allison (Edición Especial),80's,40,175333,False,0.695,0.714,8,-5.989,1,0.0333,0.0345,0.0,0.0394,0.964,120.068,4,punk-rock,Rock
3HM4NePuYAqdXpAGBk7nNz,blink-182,blink-182,Always,67,251866,False,0.463,0.925,11,-5.74,1,0.0747,0.0106,0.027,0.189,0.59,158.337,4,punk-rock,Rock
0vGAY9aloPKORe0R0KlfGv,Siouxsie and the Banshees,Helloween Party,Spellbound,0,197106,False,0.412,0.931,7,-6.348,1,0.0449,0.016,0.0,0.0772,0.295,148.813,4,punk-rock,Rock
2vNw57KPaYDzkyPxXYUORX,Guns N' Roses,Appetite For Destruction,Nightrain,64,266173,True,0.4,0.992,6,-6.995,1,0.0725,0.107,0.0117,0.179,0.243,149.412,4,hard-rock,Rock
5ij7PgYsUYHMXMFDWcZqww,Pense,"Realidade, Vida e Fé",Eu Não Posso Mais,36,169058,False,0.495,0.984,8,-4.354,1,0.0978,0.00037,2.52e-05,0.307,0.803,170.007,4,hard-rock,Rock
