track_id,track_genre,genre,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13
2Wzl4bZLjqFUOeZaGrTaVJ,rock,Rock,-45.33824,67.05025,6.408836,12.505023,6.355346,11.696235,-1.1925812,6.4148545,-2.3922942,4.3953233,-2.6958249,1.7468674,-5.0362988,96.77769,38.45637,28.87683,18.701466,21.252398,13.4461,12.006329,10.858816,10.174974,9.164199,10.250862,8.822576,10.342016,0.36845693,0.04244443,0.017589187,-0.012236048,0.013061463,0.009711602,-0.013325842,-0.004574164,-0.021514995,-0.006759275,0.0030947998,-0.011414059,-0.015217622
1UEj7RpdqH02grDvdxTKLP,rock,Rock,-278.98703,94.46805,-12.102558,21.645441,8.286822,4.299704,-2.876144,4.144667,-17.057133,9.18878,-7.6278343,-1.3969876,0.019975409,57.571426,41.321514,26.503479,19.788877,17.697723,15.742753,12.636382,12.805938,11.152662,9.7713995,11.956548,9.6924095,7.688595,0.16735035,-0.016567303,0.0058847405,0.00031920927,0.0058736186,0.006022093,-0.012739713,0.008894506,-0.014490012,0.009665832,-0.0074827396,-0.005531334,-0.0038799092
3SCYKwSFwlSe5xEvVlcP1W,rock,Rock,-119.05164,88.65782,-4.104428,38.58541,0.94686276,-1.4185897,-6.1917577,-3.4858932,-3.3015628,-7.017552,-2.5341713,0.5563167,-3.6951344,102.6515,34.625046,30.81609,17.68886,24.020517,15.967873,12.360827,13.916904,12.591118,17.133297,9.585828,8.857993,12.451459,0.3490487,0.061932072,0.030863216,0.042896885,0.01191501,0.019252647,0.008284065,0.004867331,-0.011821106,0.0058571133,-0.005071461,-0.0010294571,-0.0030420374
1NhPKVLsHhFUHIOZ32QnS2,rock,Rock,-264.82825,127.55858,4.2819457,19.164478,16.22212,1.665734,-10.087296,-4.849294,-6.663515,1.7878476,-4.097549,-5.072891,-11.155824,82.37036,51.50894,25.23975,12.78823,14.821938,9.145458,9.867684,9.2773905,8.2722845,8.359105,9.7316675,8.164073,7.724062,0.4104797,0.12936647,-0.01722045,-0.0048913807,0.00071517896,0.004171721,-0.014512868,0.008386891,-0.008411646,0.015544665,-7.64973e-05,-0.020406963,-0.02004635
1ihSSnA4d0dcxQouy7gtNJ,rock,Rock,-99.543625,89.72521,35.88806,39.016106,11.2766695,17.009752,6.2339387,8.522193,1.0845182,5.0046997,2.0399456,1.11412,2.843866,77.5577,35.575382,22.946997,17.888859,12.770217,11.974579,10.110176,10.861205,9.434845,10.358698,8.439083,7.1594076,8.60734,0.40617672,0.1047796,0.016877782,0.013319573,-0.009543382,0.002937903,0.0023555933,0.010051292,-0.014109799,-0.008457043,-0.013316089,-0.0015572099,0.009499598
333WK4wUSAfawJhirnJFAG,rock,Rock,-106.895706,106.18632,20.776302,18.061235,17.420559,3.7684016,-6.967816,-1.611591,-8.441396,-1.6170667,-4.808222,-3.5943608,-5.5760508,70.37044,37.483906,24.52151,16.621538,14.104165,14.060878,12.112839,12.06141,10.26199,11.143137,9.861725,10.40765,9.015817,0.43037987,0.13147852,0.03498446,-0.019511081,0.01907712,-0.00027725572,0.005536387,-0.00093045324,-0.0027164624,-0.021704286,0.009555155,-0.0049450328,-0.0032354014
4dWWUYR9l8xKi9CqXCG8ke,rock,Rock,-147.4643,93.24259,51.455917,30.57073,18.154917,12.735594,-1.4896256,3.5654743,-5.895556,2.1637425,-3.8936865,-3.8596618,-0.59192026,80.56516,40.720352,25.957987,19.970484,13.810445,13.813451,12.695646,12.417735,9.772019,11.652015,11.041022,9.706903,8.349561,0.4371225,0.07959436,-0.014437466,0.017770655,0.009173141,0.022893555,0.03612082,0.0017232836,0.008434184,0.0009529384,0.0048594363,-0.014673726,-0.0024126049
57bgtoPSgt236HzfBOd8kj,rock,Rock,-150.75435,51.33838,-49.97865,14.540822,-2.3554204,0.4799345,-11.958069,4.616761,-6.3575354,-1.6663916,-6.356306,-4.4527154,-11.968704,86.95515,31.527054,22.844038,20.18516,12.861469,6.1965847,10.68113,6.5826507,5.6766486,7.24742,7.0693994,5.8822627,5.497177,0.3774839,0.05290622,-0.018592179,0.023000374,0.0051675728,0.011430529,0.0009801728,0.016665515,-0.0030358771,0.011979332,0.0032809437,-0.00043188233,-0.004054868
7oAf0lBjipjSfyay9M8wQ6,rock,Rock,-175.61803,40.93247,17.053919,23.550278,14.248773,20.04239,16.51793,16.48229,1.2843295,1.4686544,4.7859807,7.613564,6.1842837,88.41391,39.54804,22.34621,16.367079,13.177896,9.55606,8.884785,9.863391,9.159512,7.634319,9.586104,6.161093,9.655509,0.20966291,0.048132185,-0.015423797,-0.0010950572,-0.013602244,0.011446734,0.0009531827,-0.0024120875,-0.012662388,2.8068436e-05,0.0055977046,-0.0013299077,-0.0030236274
5HNau9WX6OmX2PcBn3n24r,rock,Rock,-232.57886,126.63186,-7.7260423,39.921974,26.55401,16.750296,-8.210409,9.358173,-5.237149,-5.6720004,-6.0646887,-8.654411,-9.632224,93.104935,50.06075,24.745947,21.079609,19.994516,11.081845,15.376343,10.917799,10.788112,10.502093,9.720798,8.185989,11.4098835,0.05622637,-0.008149085,0.03010321,-0.004326757,-0.021294512,0.0028181418,0.011539454,0.019729096,0.0103788925,-0.0046411473,0.011612247,0.005784403,0.01687663
